Alice Blue,#F0F8FF
Antique White,#FAEBD7
Aqua,#00FFFF
Aquamarine light greenish blue,#7FFFD4
Azure between cyan and blue,#F0FFFF
Beige,#F5F5DC
Bisque light pinkish-brown,#FFE4C4
Black,#000000
Blanched Almond light shade of brown,#FFEBCD
Blue,#0000FF
Blue Violet,#8A2BE2
Brown,#A52A2A
Burlywood light brown,#DEB887
Cadet Blue,#5F9EA0
Chartreuse yellow-green,#7FFF00
Chocolate,#D2691E
Coral,#FF7F50
Cornflower stunning medium blue,#6495ED
Cornsilk pale yellowish-green,#FFF8DC
Crimson rich deep red color,#DC143C
Cyan,#00FFFF
Dark Blue,#00008B
Dark Cyan,#008B8B
Dark Goldenrod medium dark yellow,#B8860B
Dark Gray,#A9A9A9
Dark Green,#006400
Dark Khaki,#BDB76B
Dark Magenta,#8B008B
Dark Olive Green,#556B2F
Dark Orange,#FF8C00
Dark Orchid,#9932CC
Dark Red,#8B0000
Dark Salmon,#E9967A
Dark Sea Green,#8FBC8F
Dark Slate Blue,#483D8B
Dark Slate Gray,#2F4F4F
Dark Turquoise dark blue-green,#00CED1
Dark Violet,#9400D3
Deep Pink,#FF1493
Deep Sky Blue,#00BFFF
Dim Gray,#696969
Dodger Blue,#1E90FF
Firebrick red,#B22222
Floral White,#FFFAF0
Forest Green,#228B22
Fuchsia pink-purple,#FF00FF
Gainsboro light gray,#DCDCDC
Ghost White,#F8F8FF
Gold,#FFD700
Goldenrod strong deep yellow,#DAA520
Gray (X11),#BEBEBE
Gray (W3C),#7F7F7F
Green (X11),#00FF00
Green (W3C),#007F00
Green Yellow,#ADFF2F
Honeydew greenish white,#F0FFF0
Hot Pink,#FF69B4
Indian Red,#CD5C5C
Indigo between blue and purple,#4B0082
Ivory warm white with yellowish tint,#FFFFF0
Khaki,#F0E68C
Lavender pale purple,#E6E6FA
Lavender Blush light pink,#FFF0F5
Lawn Green,#7CFC00
Lemon Chiffon light yellow,#FFFACD
Light Blue,#ADD8E6
Light Coral,#F08080
Light Cyan,#E0FFFF
Light Goldenrod light yellow-green,#FAFAD2
Light Gray,#D3D3D3
Light Green,#90EE90
Light Pink,#FFB6C1
Light Salmon,#FFA07A
Light Sea Green,#20B2AA
Light Sky Blue,#87CEFA
Light Slate Gray,#778899
Light Steel Blue,#B0C4DE
Light Yellow,#FFFFE0
Lime,#00FF00
Lime Green,#32CD32
Linen,#FAF0E6
Magenta,#FF00FF
Maroon (X11) red,#B03060
Maroon (W3C) red,#7F0000
Medium Aquamarine medium light green-cyan,#66CDAA
Medium Blue,#0000CD
Medium Orchid,#BA55D3
Medium Purple,#9370DB
Medium Sea Green,#3CB371
Medium Slate Blue,#7B68EE
Medium Spring Green,#00FA9A
Medium Turquoise cyan,#48D1CC
Medium Violet Red,#C71585
Midnight Blue,#191970
Mint Cream,#F5FFFA
Misty Rose,#FFE4E1
Moccasin very light brown,#FFE4B5
Navajo White,#FFDEAD
Navy,#000080
Old Lace very light brown,#FDF5E6
Olive,#808000
Olive Drab dull yellow-green,#6B8E23
Orange,#FFA500
Orange Red,#FF4500
Orchid,#DA70D6
Pale Goldenrod light yellow,#EEE8AA
Pale Green,#98FB98
Pale Turquoise light cyan,#AFEEEE
Pale Violet Red,#DB7093
Papaya Whip very light brown,#FFEFD5
Peach Puff very light orange,#FFDAB9
Peru brown,#CD853F
Pink,#FFC0CB
Plum,#DDA0DD
Powder Blue,#B0E0E6
Purple (X11),#A020F0
Purple (W3C),#7F007F
Red,#FF0000
Rosy Brown,#BC8F8F
Royal Blue,#4169E1
Saddle Brown,#8B4513
Salmon,#FA8072
Sandy Brown,#F4A460
Sea Green,#2E8B57
Seashell very pale pinkish white,#FFF5EE
Sienna yellowish-brown,#A0522D
Silver,#C0C0C0
Sky Blue,#87CEEB
Slate Blue,#6A5ACD
Slate Gray,#708090
Snow,#FFFAFA
Spring Green,#00FF7F
Steel Blue,#4682B4
Tan,#D2B48C
Teal cyan-green,#008080
Thistle very pale purple,#D8BFD8
Tomato,#FF6347
Turquoise pale blue green,#40E0D0
Violet,#EE82EE
Wheat,#F5DEB3
White,#FFFFFF
White Smoke,#F5F5F5
Yellow,#FFFF00
Yellow Green,#9ACD32